time	abs_y-present_position	abs_y-goal_position	abs_x-present_position	abs_x-goal_position	abs_z-present_position	abs_z-goal_position	bust_y-present_position	bust_y-goal_position	bust_x-present_position	bust_x-goal_position	head_z-present_position	head_z-goal_position	head_y-present_position	head_y-goal_position	l_shoulder_y-present_position	l_shoulder_y-goal_position	l_shoulder_x-present_position	l_shoulder_x-goal_position	l_arm_z-present_position	l_arm_z-goal_position	l_elbow_y-present_position	l_elbow_y-goal_position	r_shoulder_y-present_position	r_shoulder_y-goal_position	r_shoulder_x-present_position	r_shoulder_x-goal_position	r_arm_z-present_position	r_arm_z-goal_position	r_elbow_y-present_position	r_elbow_y-goal_position	l_hip_x-present_position	l_hip_x-goal_position	l_hip_z-present_position	l_hip_z-goal_position	l_hip_y-present_position	l_hip_y-goal_position	l_knee_y-present_position	l_knee_y-goal_position	l_ankle_y-present_position	l_ankle_y-goal_position	r_hip_x-present_position	r_hip_x-goal_position	r_hip_z-present_position	r_hip_z-goal_position	r_hip_y-present_position	r_hip_y-goal_position	r_knee_y-present_position	r_knee_y-goal_position	r_ankle_y-present_position	r_ankle_y-goal_position
1404399763.62000	       -1.10000	        0.00000	        2.24000	        2.00000	        0.22000	        0.04000	       -0.48000	       -0.04000	       -0.31000	        0.00000	       -0.15000	        0.00000	       -0.34000	        0.00000	        9.82000	       10.00000	        9.96000	       10.00000	       -0.04000	       -0.04000	      -20.00000	      -20.00000	        9.82000	       10.00000	      -10.04000	      -10.00000	       -0.04000	       -0.04000	      -19.91000	      -20.00000	        9.47000	       10.00000	        2.15000	        2.00000	        3.91000	        4.00000	        0.92000	        1.45000	       -4.04000	       -3.00000	       -9.27000	      -10.00000	       -1.89000	       -2.00000	        3.82000	        4.00000	        1.71000	       -0.04000	       -4.13000	       -3.00000
1404399763.64000	       -1.10000	        0.00000	        2.15000	        2.00000	        0.13000	        0.04000	       -0.40000	       -0.04000	       -0.31000	        0.00000	       -0.15000	        0.00000	       -0.34000	        0.00000	        9.82000	       10.00000	        9.96000	       10.00000	       -0.04000	       -0.04000	      -20.00000	      -20.00000	        9.82000	       10.00000	      -10.13000	      -10.00000	       -0.04000	       -0.04000	      -19.91000	      -20.00000	        9.47000	       10.00000	        2.15000	        2.00000	        3.91000	        4.00000	        0.92000	        1.45000	       -4.04000	       -3.00000	       -9.27000	      -10.00000	       -1.89000	       -2.00000	        3.82000	        4.00000	        1.71000	       -0.04000	       -4.13000	       -3.00000
1404399763.66000	       -1.10000	        0.00000	        2.24000	        2.00000	        0.13000	        0.04000	       -0.48000	       -0.04000	       -0.31000	        0.00000	       -0.15000	        0.00000	       -0.05000	        0.00000	        9.82000	       10.00000	        9.96000	       10.00000	       -0.13000	       -0.04000	      -20.00000	      -20.00000	        9.82000	       10.00000	      -10.04000	      -10.00000	       -0.04000	       -0.04000	      -19.91000	      -20.00000	        9.56000	       10.00000	        2.15000	        2.00000	        3.82000	        4.00000	        1.01000	        1.45000	       -4.04000	       -3.00000	       -9.27000	      -10.00000	       -1.89000	       -2.00000	        3.82000	        4.00000	        1.71000	       -0.04000	       -4.13000	       -3.00000
1404399763.68000	       -1.10000	        0.00000	        2.15000	        2.00000	        0.13000	        0.04000	       -0.48000	       -0.04000	       -0.31000	        0.00000	       -0.44000	        0.00000	       -0.34000	        0.00000	        9.82000	       10.00000	        9.96000	       10.00000	       -0.04000	       -0.04000	      -20.00000	      -20.00000	        9.82000	       10.00000	      -10.04000	      -10.00000	       -0.04000	       -0.04000	      -19.91000	      -20.00000	        9.56000	       10.00000	        2.24000	        2.00000	        3.91000	        4.00000	        1.01000	        1.45000	       -4.04000	       -3.00000	       -9.19000	      -10.00000	       -1.98000	       -2.00000	        3.82000	        4.00000	        1.71000	       -0.04000	       -4.04000	       -3.00000
1404399763.70000	       -1.01000	        0.00000	        2.15000	        2.00000	        0.13000	        0.04000	       -0.48000	       -0.04000	       -0.40000	        0.00000	       -0.15000	        0.00000	       -0.05000	        0.00000	        9.82000	       10.00000	        9.87000	       10.00000	       -0.13000	       -0.04000	      -20.00000	      -20.00000	        9.82000	       10.00000	      -10.04000	      -10.00000	       -0.04000	       -0.04000	      -20.00000	      -20.00000	        9.65000	       10.00000	        2.24000	        2.00000	        3.91000	        4.00000	        1.10000	        1.45000	       -4.04000	       -3.00000	       -9.27000	      -10.00000	       -1.98000	       -2.00000	        3.82000	        4.00000	        1.71000	       -0.04000	       -4.04000	       -3.00000
1404399763.72000	       -1.01000	        0.00000	        2.15000	        2.00000	        0.13000	        0.04000	       -0.40000	       -0.04000	       -0.40000	        0.00000	       -0.15000	        0.00000	       -0.34000	        0.00000	        9.82000	       10.00000	        9.87000	       10.00000	       -0.04000	       -0.04000	      -20.00000	      -20.00000	        9.82000	       10.00000	      -10.13000	      -10.00000	       -0.04000	       -0.04000	      -19.91000	      -20.00000	        9.56000	       10.00000	        2.24000	        2.00000	        3.91000	        4.00000	        1.19000	        1.45000	       -4.04000	       -3.00000	       -9.27000	      -10.00000	       -1.89000	       -2.00000	        3.82000	        4.00000	        1.71000	       -0.04000	       -4.04000	       -3.00000
1404399763.74000	       -1.01000	        0.00000	        2.15000	        2.00000	        0.13000	        0.04000	       -0.48000	       -0.04000	       -0.40000	        0.00000	       -0.15000	        0.00000	       -0.05000	        0.00000	        9.82000	       10.00000	        9.96000	       10.00000	       -0.04000	       -0.04000	      -20.00000	      -20.00000	        9.82000	       10.00000	      -10.04000	      -10.00000	       -0.04000	       -0.04000	      -19.91000	      -20.00000	        9.65000	       10.00000	        2.24000	        2.00000	        3.91000	        4.00000	        1.19000	        1.45000	       -4.13000	       -3.00000	       -9.27000	      -10.00000	       -1.98000	       -2.00000	        3.82000	        4.00000	        1.71000	       -0.04000	       -4.04000	       -3.00000
1404399763.77000	       -1.01000	        0.00000	        2.15000	        2.00000	        0.13000	        0.04000	       -0.40000	       -0.04000	       -0.31000	        0.00000	       -0.15000	        0.00000	       -0.34000	        0.00000	        9.82000	       10.00000	        9.96000	       10.00000	       -0.13000	       -0.04000	      -20.00000	      -20.00000	        9.82000	       10.00000	      -10.04000	      -10.00000	       -0.04000	       -0.04000	      -20.00000	      -20.00000	        9.65000	       10.00000	        2.15000	        2.00000	        3.91000	        4.00000	        1.19000	        1.45000	       -4.13000	       -3.00000	       -9.27000	      -10.00000	       -1.98000	       -2.00000	        3.82000	        4.00000	        1.71000	       -0.04000	       -3.96000	       -3.00000
1404399763.79000	       -1.01000	        0.00000	        2.15000	        2.00000	        0.04000	        0.04000	       -0.48000	       -0.04000	       -0.40000	        0.00000	       -0.15000	        0.00000	       -0.05000	        0.00000	        9.82000	       10.00000	        9.87000	       10.00000	       -0.13000	       -0.04000	      -20.00000	      -20.00000	        9.82000	       10.00000	      -10.13000	      -10.00000	       -0.04000	       -0.04000	      -19.91000	      -20.00000	        9.65000	       10.00000	        2.24000	        2.00000	        3.82000	        4.00000	        1.19000	        1.45000	       -4.04000	       -3.00000	       -9.27000	      -10.00000	       -2.07000	       -2.00000	        3.91000	        4.00000	        1.71000	       -0.04000	       -3.96000	       -3.00000
1404399763.81000	       -1.01000	        0.00000	        2.15000	        2.00000	        0.04000	        0.04000	       -0.48000	       -0.04000	       -0.40000	        0.00000	       -0.15000	        0.00000	       -0.05000	        0.00000	        9.82000	       10.00000	        9.96000	       10.00000	       -0.04000	       -0.04000	      -20.00000	      -20.00000	        9.82000	       10.00000	      -10.04000	      -10.00000	       -0.04000	       -0.04000	      -19.91000	      -20.00000	        9.56000	       10.00000	        2.15000	        2.00000	        3.91000	        4.00000	        1.19000	        1.45000	       -4.13000	       -3.00000	       -9.27000	      -10.00000	       -2.07000	       -2.00000	        3.82000	        4.00000	        1.80000	       -0.04000	       -3.96000	       -3.00000
1404399763.83000	       -0.92000	        0.00000	        2.15000	        2.00000	        0.13000	        0.04000	       -0.40000	       -0.04000	       -0.40000	        0.00000	       -0.15000	        0.00000	       -0.34000	        0.00000	        9.82000	       10.00000	        9.96000	       10.00000	       -0.13000	       -0.04000	      -20.00000	      -20.00000	        9.82000	       10.00000	      -10.04000	      -10.00000	       -0.04000	       -0.04000	      -20.00000	      -20.00000	        9.65000	       10.00000	        2.24000	        2.00000	        3.82000	        4.00000	        1.19000	        1.45000	       -4.13000	       -3.00000	       -9.19000	      -10.00000	       -2.07000	       -2.00000	        3.91000	        4.00000	        1.80000	       -0.04000	       -3.87000	       -3.00000
1404399763.85000	       -0.92000	        0.00000	        2.15000	        2.00000	        0.04000	        0.04000	       -0.48000	       -0.04000	       -0.31000	        0.00000	       -0.15000	        0.00000	       -0.05000	        0.00000	        9.82000	       10.00000	        9.87000	       10.00000	       -0.13000	       -0.04000	      -20.00000	      -20.00000	        9.82000	       10.00000	      -10.04000	      -10.00000	       -0.04000	       -0.04000	      -19.91000	      -20.00000	        9.65000	       10.00000	        2.24000	        2.00000	        3.91000	        4.00000	        1.19000	        1.45000	       -4.13000	       -3.00000	       -9.27000	      -10.00000	       -2.15000	       -2.00000	        3.91000	        4.00000	        1.80000	       -0.04000	       -3.96000	       -3.00000
1404399763.87000	       -0.92000	        0.00000	        2.15000	        2.00000	        0.13000	        0.04000	       -0.48000	       -0.04000	       -0.31000	        0.00000	       -0.15000	        0.00000	       -0.05000	        0.00000	        9.82000	       10.00000	        9.96000	       10.00000	       -0.04000	       -0.04000	      -20.00000	      -20.00000	        9.82000	       10.00000	      -10.04000	      -10.00000	       -0.04000	       -0.04000	      -19.91000	      -20.00000	        9.65000	       10.00000	        2.24000	        2.00000	        3.91000	        4.00000	        1.19000	        1.45000	       -4.13000	       -3.00000	       -9.19000	      -10.00000	       -2.07000	       -2.00000	        3.91000	        4.00000	        1.80000	       -0.04000	       -3.87000	       -3.00000
1404399763.89000	       -0.92000	        0.00000	        2.24000	        2.00000	        0.13000	        0.04000	       -0.40000	       -0.04000	       -0.31000	        0.00000	       -0.15000	        0.00000	       -0.34000	        0.00000	        9.82000	       10.00000	        9.96000	       10.00000	       -0.13000	       -0.04000	      -20.00000	      -20.00000	        9.82000	       10.00000	      -10.04000	      -10.00000	       -0.04000	       -0.04000	      -19.91000	      -20.00000	        9.65000	       10.00000	        2.24000	        2.00000	        3.91000	        4.00000	        1.19000	        1.45000	       -4.13000	       -3.00000	       -9.27000	      -10.00000	       -2.15000	       -2.00000	        3.91000	        4.00000	        1.80000	       -0.04000	       -3.78000	       -3.00000
1404399763.91000	       -0.84000	        0.00000	        2.15000	        2.00000	        0.13000	        0.04000	       -0.48000	       -0.04000	       -0.31000	        0.00000	       -0.15000	        0.00000	       -0.05000	        0.00000	        9.82000	       10.00000	        9.87000	       10.00000	       -0.13000	       -0.04000	      -20.00000	      -20.00000	        9.91000	       10.00000	      -10.13000	      -10.00000	       -0.04000	       -0.04000	      -19.91000	      -20.00000	        9.65000	       10.00000	        2.24000	        2.00000	        3.91000	        4.00000	        1.19000	        1.45000	       -4.13000	       -3.00000	       -9.27000	      -10.00000	       -2.15000	       -2.00000	        3.91000	        4.00000	        1.80000	       -0.04000	       -3.78000	       -3.00000
1404399763.93000	       -0.84000	        0.00000	        2.15000	        2.00000	        0.13000	        0.04000	       -0.40000	       -0.04000	       -0.31000	        0.00000	       -0.15000	        0.00000	       -0.34000	        0.00000	        9.82000	       10.00000	        9.96000	       10.00000	       -0.13000	       -0.04000	      -20.00000	      -20.00000	        9.82000	       10.00000	      -10.04000	      -10.00000	       -0.04000	       -0.04000	      -19.91000	      -20.00000	        9.65000	       10.00000	        2.15000	        2.00000	        3.91000	        4.00000	        1.19000	        1.45000	       -4.13000	       -3.00000	       -9.19000	      -10.00000	       -2.15000	       -2.00000	        3.91000	        4.00000	        1.80000	       -0.04000	       -3.78000	       -3.00000
1404399763.95000	       -0.84000	        0.00000	        2.24000	        2.00000	        0.13000	        0.04000	       -0.48000	       -0.04000	       -0.31000	        0.00000	       -0.44000	        0.00000	       -0.05000	        0.00000	        9.82000	       10.00000	        9.87000	       10.00000	       -0.13000	       -0.04000	      -20.00000	      -20.00000	        9.82000	       10.00000	      -10.13000	      -10.00000	       -0.04000	       -0.04000	      -19.91000	      -20.00000	        9.74000	       10.00000	        2.15000	        2.00000	        3.91000	        4.00000	        1.19000	        1.45000	       -4.13000	       -3.00000	       -9.27000	      -10.00000	       -2.15000	       -2.00000	        3.91000	        4.00000	        1.80000	       -0.04000	       -3.78000	       -3.00000
1404399763.97000	       -0.84000	        0.00000	        2.15000	        2.00000	        0.13000	        0.04000	       -0.48000	       -0.04000	       -0.31000	        0.00000	       -0.15000	        0.00000	       -0.34000	        0.00000	        9.82000	       10.00000	        9.96000	       10.00000	       -0.13000	       -0.04000	      -20.00000	      -20.00000	        9.82000	       10.00000	      -10.13000	      -10.00000	       -0.04000	       -0.04000	      -19.91000	      -20.00000	        9.65000	       10.00000	        2.24000	        2.00000	        3.91000	        4.00000	        1.19000	        1.45000	       -4.13000	       -3.00000	       -9.27000	      -10.00000	       -2.15000	       -2.00000	        3.91000	        4.00000	        1.80000	       -0.04000	       -3.69000	       -3.00000
1404399763.99000	       -0.75000	        0.00000	        2.15000	        2.00000	        0.13000	        0.04000	       -0.48000	       -0.04000	       -0.22000	        0.00000	       -0.15000	        0.00000	       -0.05000	        0.00000	        9.82000	       10.00000	        9.96000	       10.00000	       -0.13000	       -0.04000	      -20.00000	      -20.00000	        9.82000	       10.00000	      -10.04000	      -10.00000	       -0.04000	       -0.04000	      -19.91000	      -20.00000	        9.74000	       10.00000	        2.24000	        2.00000	        3.91000	        4.00000	        1.19000	        1.45000	       -4.04000	       -3.00000	       -9.27000	      -10.00000	       -2.15000	       -2.00000	        3.91000	        4.00000	        1.80000	       -0.04000	       -3.69000	       -3.00000
1404399764.01000	       -0.84000	        0.00000	        2.15000	        2.00000	        0.13000	        0.04000	       -0.40000	       -0.04000	       -0.22000	        0.00000	       -0.15000	        0.00000	       -0.34000	        0.00000	        9.82000	       10.00000	        9.96000	       10.00000	       -0.13000	       -0.04000	      -20.00000	      -20.00000	        9.82000	       10.00000	      -10.13000	      -10.00000	       -0.04000	       -0.04000	      -19.91000	      -20.00000	        9.74000	       10.00000	        2.24000	        2.00000	        3.82000	        4.00000	        1.10000	        1.45000	       -4.04000	       -3.00000	       -9.27000	      -10.00000	       -2.15000	       -2.00000	        3.91000	        4.00000	        1.80000	       -0.04000	       -3.60000	       -3.00000
1404399764.03000	       -0.75000	        0.00000	        2.15000	        2.00000	        0.04000	        0.04000	       -0.40000	       -0.04000	       -0.31000	        0.00000	       -0.15000	        0.00000	       -0.34000	        0.00000	        9.82000	       10.00000	        9.96000	       10.00000	       -0.13000	       -0.04000	      -20.00000	      -20.00000	        9.82000	       10.00000	      -10.04000	      -10.00000	       -0.04000	       -0.04000	      -19.91000	      -20.00000	        9.74000	       10.00000	        2.24000	        2.00000	        3.91000	        4.00000	        1.19000	        1.45000	       -4.04000	       -3.00000	       -9.27000	      -10.00000	       -2.15000	       -2.00000	        3.91000	        4.00000	        1.71000	       -0.04000	       -3.60000	       -3.00000
1404399764.05000	       -0.75000	        0.00000	        2.15000	        2.00000	        0.13000	        0.04000	       -0.48000	       -0.04000	       -0.22000	        0.00000	        0.15000	        0.00000	       -0.34000	        0.00000	        9.82000	       10.00000	        9.96000	       10.00000	       -0.04000	       -0.04000	      -20.00000	      -20.00000	        9.82000	       10.00000	      -10.13000	      -10.00000	       -0.04000	       -0.04000	      -19.91000	      -20.00000	        9.74000	       10.00000	        2.24000	        2.00000	        3.82000	        4.00000	        1.10000	        1.45000	       -4.04000	       -3.00000	       -9.27000	      -10.00000	       -2.15000	       -2.00000	        3.91000	        4.00000	        1.80000	       -0.04000	       -3.60000	       -3.00000
1404399764.07000	       -0.75000	        0.00000	        2.15000	        2.00000	        0.04000	        0.04000	       -0.48000	       -0.04000	       -0.22000	        0.00000	       -0.15000	        0.00000	       -0.34000	        0.00000	        9.82000	       10.00000	        9.96000	       10.00000	       -0.13000	       -0.04000	      -20.00000	      -20.00000	        9.91000	       10.00000	      -10.04000	      -10.00000	       -0.04000	       -0.04000	      -20.00000	      -20.00000	        9.74000	       10.00000	        2.15000	        2.00000	        3.91000	        4.00000	        1.10000	        1.45000	       -4.04000	       -3.00000	       -9.27000	      -10.00000	       -2.15000	       -2.00000	        3.82000	        4.00000	        1.71000	       -0.04000	       -3.60000	       -3.00000
1404399764.09000	       -0.66000	        0.00000	        2.15000	        2.00000	        0.13000	        0.04000	       -0.40000	       -0.04000	       -0.13000	        0.00000	       -0.15000	        0.00000	       -0.34000	        0.00000	        9.82000	       10.00000	        9.96000	       10.00000	       -0.13000	       -0.04000	      -20.00000	      -20.00000	        9.82000	       10.00000	      -10.04000	      -10.00000	       -0.04000	       -0.04000	      -20.00000	      -20.00000	        9.82000	       10.00000	        2.24000	        2.00000	        3.91000	        4.00000	        1.10000	        1.45000	       -4.04000	       -3.00000	       -9.27000	      -10.00000	       -2.15000	       -2.00000	        3.91000	        4.00000	        1.71000	       -0.04000	       -3.52000	       -3.00000
1404399764.11000	       -0.66000	        0.00000	        2.07000	        2.00000	        0.13000	        0.04000	       -0.48000	       -0.04000	       -0.22000	        0.00000	       -0.15000	        0.00000	       -0.05000	        0.00000	        9.82000	       10.00000	        9.96000	       10.00000	       -0.04000	       -0.04000	      -20.00000	      -20.00000	        9.91000	       10.00000	      -10.13000	      -10.00000	       -0.04000	       -0.04000	      -19.91000	      -20.00000	        9.82000	       10.00000	        2.24000	        2.00000	        3.91000	        4.00000	        1.10000	        1.45000	       -4.04000	       -3.00000	       -9.27000	      -10.00000	       -2.15000	       -2.00000	        3.91000	        4.00000	        1.71000	       -0.04000	       -3.43000	       -3.00000
1404399764.13000	       -0.66000	        0.00000	        2.07000	        2.00000	        0.04000	        0.04000	       -0.40000	       -0.04000	       -0.13000	        0.00000	       -0.15000	        0.00000	       -0.05000	        0.00000	        9.82000	       10.00000	        9.96000	       10.00000	       -0.04000	       -0.04000	      -20.00000	      -20.00000	        9.91000	       10.00000	      -10.04000	      -10.00000	       -0.04000	       -0.04000	      -19.91000	      -20.00000	        9.82000	       10.00000	        2.15000	        2.00000	        3.91000	        4.00000	        1.10000	        1.45000	       -4.04000	       -3.00000	       -9.27000	      -10.00000	       -2.15000	       -2.00000	        3.91000	        4.00000	        1.80000	       -0.04000	       -3.43000	       -3.00000
1404399764.15000	       -0.66000	        0.00000	        2.07000	        2.00000	        0.04000	        0.04000	       -0.40000	       -0.04000	       -0.22000	        0.00000	       -0.15000	        0.00000	       -0.34000	        0.00000	        9.82000	       10.00000	        9.87000	       10.00000	       -0.13000	       -0.04000	      -20.00000	      -20.00000	        9.91000	       10.00000	      -10.13000	      -10.00000	       -0.04000	       -0.04000	      -19.91000	      -20.00000	        9.82000	       10.00000	        2.24000	        2.00000	        3.91000	        4.00000	        1.10000	        1.45000	       -4.04000	       -3.00000	       -9.27000	      -10.00000	       -2.15000	       -2.00000	        3.82000	        4.00000	        1.71000	       -0.04000	       -3.43000	       -3.00000
1404399764.17000	       -0.57000	        0.00000	        2.07000	        2.00000	        0.04000	        0.04000	       -0.40000	       -0.04000	       -0.22000	        0.00000	       -0.15000	        0.00000	       -0.05000	        0.00000	        9.91000	       10.00000	        9.96000	       10.00000	       -0.13000	       -0.04000	      -20.00000	      -20.00000	        9.91000	       10.00000	      -10.04000	      -10.00000	       -0.04000	       -0.04000	      -19.91000	      -20.00000	        9.82000	       10.00000	        2.15000	        2.00000	        3.91000	        4.00000	        1.10000	        1.45000	       -4.04000	       -3.00000	       -9.27000	      -10.00000	       -2.15000	       -2.00000	        3.91000	        4.00000	        1.71000	       -0.04000	       -3.43000	       -3.00000
